radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,260,43905,104403969,-1,-85.2213,36.0868,7258,32,1,1707822179,1788291490,0
LTE,310,260,43905,104403970,-1,-85.1898,36.067,10414,37,1,1707822249,1788291490,0
LTE,310,260,43905,104403980,-1,-85.1813,36.059,8500,14,1,1707822349,1781806741,0
LTE,310,260,43905,104404030,-1,-85.1543,36.0452,18331,11,1,1707822369,1781806621,0
LTE,310,260,43905,30704897,-1,-85.1039,36.035,8686,28,1,1707822598,1788291490,0
LTE,310,260,44284,7954945,-1,-85.0023,35.9742,12666,22,1,1707822648,1743553501,0
LTE,310,260,43905,28059393,-1,-85.0308,35.993,9366,31,1,1707822688,1788291491,0
LTE,310,260,44284,8453890,-1,-85.0478,36.0026,7500,7,1,1707822838,1743553381,0
LTE,310,260,43906,104365835,-1,-86.8202,35.9284,4850,22,1,1709395640,1773965945,0
LTE,310,260,43906,7033100,-1,-86.8166,35.9403,1000,7,1,1709395700,1753355401,0
LTE,310,260,43906,7033091,-1,-86.8237,35.9569,1396,23,1,1709395730,1767467341,0
LTE,310,260,43906,31667201,-1,-86.7885,36.0434,8199,18,1,1710262683,1773965945,0
LTE,310,260,43906,9622542,-1,-86.761,36.1623,1000,6,1,1710263723,1763737441,0
LTE,310,260,43906,9622543,-1,-86.7631,36.1645,1000,6,1,1710263743,1763737443,0
LTE,310,260,43906,9622544,-1,-86.7639,36.1655,1000,5,1,1710263773,1763737441,0
LTE,310,260,43906,26382863,-1,-86.7743,36.1806,1000,6,1,1710263923,1763737564,0
LTE,310,260,32770,41444384,-1,-88.7023,35.4783,1610,25,1,1711036698,1749353231,0
LTE,310,260,44029,30142733,-1,-86.8837,35.0339,3831,50,1,1711108607,1773988384,0
LTE,310,260,31342,19291137,-1,-86.8767,35.0151,2304,28,1,1711108938,1773965891,0
LTE,310,260,30499,42834945,-1,-85.1912,35.0108,1153,32,1,1711135534,1787513543,0
LTE,310,260,30499,53718274,-1,-85.1664,35.0303,26645,50,1,1711135657,1787513543,0
LTE,310,260,30499,53718788,-1,-85.1523,35.0408,24921,17,1,1711135753,1787513545,0
LTE,310,260,30499,43950595,-1,-85.0919,35.0806,17888,33,1,1711136007,1787513546,0
LTE,310,260,30499,52839681,-1,-85.1046,35.0767,19103,45,1,1711136017,1787513546,0
LTE,310,260,30499,43950593,-1,-85.079,35.0836,16723,46,1,1711136107,1787513547,0
LTE,310,260,30499,222106883,-1,-85.0634,35.0891,1113,47,1,1711136147,1787513547,0
LTE,310,260,30499,222894851,-1,-85.0342,35.1261,10823,33,1,1711136337,1787513549,0
LTE,310,260,30499,70342402,-1,-85.0254,35.1281,10000,30,1,1711136377,1787513549,0
LTE,310,260,30499,222894849,-1,-85.008,35.1306,8473,37,1,1711136437,1787513549,0
LTE,310,260,30499,223525379,-1,-85.009,35.1294,1605,29,1,1711136477,1787513549,0
LTE,310,410,8833,41824429,-1,-86.6867,36.07,1064,6,1,1711129227,1773840781,0
LTE,310,260,43777,7312899,0,-87.5505,36.9813,6612,7,1,1711540125,1775202061,0
